iter	Passed	Remaining
779	1013	285
780	1014	284
781	1015	282
782	1015	281
783	1016	280
784	1017	278
785	1018	277
786	1019	275
787	1019	274
788	1020	272
789	1021	271
790	1022	270
791	1023	268
792	1023	267
793	1024	265
794	1025	264
795	1028	263
796	1029	262
797	1030	260
798	1030	259
799	1031	257
800	1032	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1035	249
806	1036	247
807	1037	246
808	1037	245
809	1038	243
810	1039	242
811	1040	240
812	1042	239
813	1043	238
814	1044	237
815	1044	235
816	1045	234
817	1046	232
818	1047	231
819	1048	230
820	1049	228
821	1050	227
822	1051	226
823	1052	224
824	1052	223
825	1053	221
826	1054	220
827	1055	219
828	1056	217
829	1057	216
830	1059	215
831	1060	214
832	1061	212
833	1061	211
834	1062	210
835	1063	208
836	1064	207
837	1065	205
838	1066	204
839	1067	203
840	1068	201
841	1069	200
842	1070	199
843	1071	198
844	1072	196
845	1073	195
846	1074	194
847	1075	192
848	1076	191
849	1077	190
850	1078	188
851	1079	187
852	1080	186
853	1081	184
854	1082	183
855	1084	182
856	1085	181
857	1086	179
858	1087	178
859	1088	177
860	1089	175
861	1089	174
862	1090	173
863	1091	171
864	1092	170
865	1093	169
866	1094	167
867	1095	166
868	1099	165
869	1103	164
870	1105	163
871	1107	162
872	1108	161
873	1110	160
874	1115	159
875	1117	158
876	1118	156
877	1119	155
878	1120	154
879	1121	152
880	1121	151
881	1122	150
882	1123	148
883	1124	147
884	1125	146
885	1126	144
886	1128	143
887	1130	142
888	1131	141
889	1132	139
890	1133	138
891	1134	137
892	1135	136
893	1136	134
894	1137	133
895	1137	132
896	1138	130
897	1139	129
898	1140	128
899	1141	126
900	1141	125
901	1143	124
902	1144	122
903	1146	121
904	1147	120
905	1148	119
906	1149	117
907	1149	116
908	1150	115
909	1151	113
910	1152	112
911	1153	111
912	1154	110
913	1155	108
914	1156	107
915	1156	106
916	1158	104
917	1160	103
918	1161	102
919	1162	101
920	1163	99
921	1164	98
922	1165	97
923	1166	95
924	1167	94
925	1168	93
926	1168	92
927	1169	90
928	1170	89
929	1171	88
930	1172	86
931	1174	85
932	1175	84
933	1177	83
934	1177	81
935	1178	80
936	1179	79
937	1180	78
938	1181	76
939	1182	75
940	1182	74
941	1183	72
942	1184	71
943	1184	70
944	1185	69
945	1186	67
946	1187	66
947	1187	65
948	1189	63
949	1191	62
950	1192	61
951	1192	60
952	1193	58
953	1194	57
954	1195	56
955	1195	55
956	1196	53
957	1197	52
958	1198	51
959	1198	49
960	1199	48
961	1200	47
962	1201	46
963	1201	44
964	1202	43
965	1203	42
966	1204	41
967	1205	39
968	1206	38
969	1207	37
970	1208	36
971	1209	34
972	1209	33
973	1210	32
974	1211	31
975	1212	29
976	1212	28
977	1213	27
978	1214	26
979	1214	24
980	1215	23
981	1216	22
982	1217	21
983	1217	19
984	1218	18
985	1220	17
986	1221	16
987	1222	14
988	1223	13
989	1223	12
990	1224	11
991	1225	9
992	1226	8
993	1227	7
994	1227	6
995	1228	4
996	1229	3
997	1229	2
998	1230	1
999	1231	0
